Date Index
2019-04-01 0.4461
2019-04-02 0.4475
2019-04-03 0.4494
2019-04-04 0.4515
2019-04-05 0.4534
2019-04-06 0.4559
2019-04-07 0.4583
2019-04-08 0.4609
2019-04-09 0.4637
2019-04-10 0.467
2019-04-11 0.4706
2019-04-12 0.4745
2019-04-13 0.4793
2019-04-14 0.4831
2019-04-15 0.4886
2019-04-16 0.4939
2019-04-17 0.4996
2019-04-18 0.5056
2019-04-19 0.5129
2019-04-20 0.5204
2019-04-21 0.5278
2019-04-22 0.5356
2019-04-23 0.5414
2019-04-24 0.5489
2019-04-25 0.5567
2019-04-26 0.5615
2019-04-27 0.5685
2019-04-28 0.5738
2019-04-29 0.5825
2019-04-30 0.5911
2019-05-01 0.599
2019-05-02 0.6064
2019-05-03 0.6042
2019-05-04 0.6127
2019-05-05 0.6213
2019-05-06 0.6286
2019-05-07 0.6367
2019-05-08 0.643
2019-05-09 0.651
2019-05-10 0.6591
2019-05-11 0.6663
2019-05-12 0.6739
2019-05-13 0.6811
2019-05-14 0.688
2019-05-15 0.6949
2019-05-16 0.7015
2019-05-17 0.7076
2019-05-18 0.7127
2019-05-19 0.7187
2019-05-20 0.7244
2019-05-21 0.7296
2019-05-22 0.73511
2019-05-23 0.7402
2019-05-24 0.7451
2019-05-25 0.7498
2019-05-26 0.7543
2019-05-27 0.7587
2019-05-28 0.7628
2019-05-29 0.7667
2019-05-30 0.7709
2019-05-31 0.7747
2019-06-01 0.7782
2019-06-02 0.7817
2019-06-03 0.78495
2019-06-04 0.7881
2019-06-05 0.791
2019-06-06 0.7939
2019-06-07 0.7968
2019-06-08 0.7992
2019-06-09 0.8017
2019-06-10 0.804
2019-06-11 0.8062
2019-06-12 0.8083
2019-06-13 0.8102
2019-06-14 0.8121
2019-06-15 0.8139
2019-06-16 0.8154
2019-06-17 0.817
2019-06-18 0.8184
2019-06-19 0.8197
2019-06-20 0.821
2019-06-21 0.82219
2019-06-22 0.82321
2019-06-23 0.8242
2019-06-24 0.82503
2019-06-25 0.8259
2019-06-26 0.8268
2019-06-27 0.8276
2019-06-28 0.8282
2019-06-29 0.8289
2019-06-30 0.8294
2019-07-01 0.8297
2019-07-02 0.8301
2019-07-03 0.8303
2019-07-04 0.8306
2019-07-05 0.8307
2019-07-06 0.8308
2019-07-07 0.8307
2019-07-08 0.8306
2019-07-09 0.8306
2019-07-10 0.8305
2019-07-11 0.8303
2019-07-12 0.8302
2019-07-13 0.83
2019-07-14 0.8299
2019-07-15 0.8297
2019-07-16 0.8295
2019-07-17 0.8294
2019-07-18 0.8292
2019-07-19 0.829
2019-07-20 0.8288
2019-07-21 0.8285
2019-07-22 0.8283
2019-07-23 0.8281
2019-07-24 0.8278
2019-07-25 0.8274
2019-07-26 0.8271
2019-07-27 0.8267
2019-07-28 0.8263
2019-07-29 0.8259
2019-07-30 0.8255
2019-07-31 0.825
2019-08-01 0.8245
2019-08-02 0.8239
2019-08-03 0.8235
2019-08-04 0.8229
2019-08-05 0.8224
2019-08-06 0.8219
2019-08-07 0.8213
2019-08-08 0.8207
2019-08-09 0.82024
2019-08-10 0.81981
2019-08-11 0.8194
2019-08-12 0.819
2019-08-13 0.8186
2019-08-14 0.8183
2019-08-15 0.818
2019-08-16 0.8177
2019-08-17 0.8174
2019-08-18 0.8172
2019-08-19 0.8171
2019-08-20 0.8169
2019-08-21 0.8168
2019-08-22 0.8167
2019-08-23 0.8166
2019-08-24 0.8165
2019-08-25 0.8164
2019-08-26 0.8163
2019-08-27 0.8162
2019-08-28 0.816
2019-08-29 0.8158
2019-08-30 0.81562
2019-08-31 0.8153
2019-09-01 0.8151
2019-09-02 0.8148
2019-09-03 0.81438
2019-09-04 0.814
2019-09-05 0.8133
2019-09-06 0.8129
2019-09-07 0.8122
2019-09-08 0.8114
2019-09-09 0.8107
2019-09-10 0.8099
2019-09-11 0.8093
2019-09-12 0.8083
2019-09-13 0.8072
2019-09-14 0.8062
2019-09-15 0.805
2019-09-16 0.8039
2019-09-17 0.8026
2019-09-18 0.8012
2019-09-19 0.8006
2019-09-20 0.7992
2019-09-21 0.7982
2019-09-22 0.7968
2019-09-23 0.79503
2019-09-24 0.7934
2019-09-25 0.7915
2019-09-26 0.78943
2019-09-27 0.7876
2019-09-28 0.7852
2019-09-29 0.783
2019-09-30 0.7804
2019-10-01 0.7781
2019-10-02 0.7747
2019-10-03 0.7709
2019-10-04 0.7666
2019-10-05 0.7617
2019-10-06 0.7565
2019-10-07 0.7507
2019-10-08 0.7443
2019-10-09 0.7375
2019-10-10 0.7302
2019-10-11 0.7226
2019-10-12 0.7144
2019-10-13 0.7058
2019-10-14 0.6961
2019-10-15 0.6863
2019-10-16 0.6771
2019-10-17 0.6662
2019-10-18 0.6565
2019-10-19 0.6549
2019-10-20 0.6455
2019-10-21 0.6359
2019-10-22 0.6262
2019-10-23 0.6164
2019-10-24 0.606
2019-10-25 0.5962
2019-10-26 0.5873
2019-10-27 0.5811
2019-10-28 0.574
2019-10-29 0.5713
2019-10-30 0.5643
2019-10-31 0.5604
