Date Index
2019-01-01 0.2714
2019-01-02 0.2689
2019-01-03 0.2664
2019-01-04 0.2642
2019-01-05 0.2617
2019-01-06 0.2595
2019-01-07 0.2579
2019-01-08 0.2564
2019-01-09 0.255
2019-01-10 0.2538
2019-01-11 0.2528
2019-01-12 0.2515
2019-01-13 0.2508
2019-01-14 0.2502
2019-01-15 0.2499
2019-01-16 0.2494
2019-01-17 0.24938
2019-01-18 0.2496
2019-01-19 0.25
2019-01-20 0.2502
2019-01-21 0.2508
2019-01-22 0.2516
2019-01-23 0.2523
2019-01-24 0.2535
2019-01-25 0.2545
2019-01-26 0.2558
2019-01-27 0.2573
2019-01-28 0.2593
2019-01-29 0.261
2019-01-30 0.263
2019-01-31 0.2651
2019-02-01 0.2673
2019-02-02 0.2693
2019-02-03 0.271
2019-02-04 0.2734
2019-02-05 0.2758
2019-02-06 0.2777
2019-02-07 0.2798
2019-02-08 0.2821
2019-02-09 0.2843
2019-02-10 0.2861
2019-02-11 0.2884
2019-02-12 0.2909
2019-02-13 0.293
2019-02-14 0.2948
2019-02-15 0.297
2019-02-16 0.299
2019-02-17 0.3007
2019-02-18 0.3026
2019-02-19 0.3049
2019-02-20 0.307
2019-02-21 0.309
2019-02-22 0.3111
2019-02-23 0.3135
2019-02-24 0.3156
2019-02-25 0.3178
2019-02-26 0.32
2019-02-27 0.3224
2019-02-28 0.3249
2019-03-01 0.327
2019-03-02 0.3293
2019-03-03 0.3321
2019-03-04 0.3343
2019-03-05 0.3364
2019-03-06 0.3385
2019-03-07 0.3408
2019-03-08 0.34263
2019-03-09 0.34453
2019-03-10 0.3466
2019-03-11 0.3485
2019-03-12 0.3505
2019-03-13 0.3524
2019-03-14 0.3543
2019-03-15 0.35633
2019-03-16 0.3586
2019-03-17 0.3609
2019-03-18 0.3631
2019-03-19 0.36503
2019-03-20 0.36713
2019-03-21 0.3692
2019-03-22 0.3714
2019-03-23 0.3736
2019-03-24 0.3757
2019-03-25 0.378
2019-03-26 0.3802
2019-03-27 0.3824
2019-03-28 0.3846
2019-03-29 0.3869
2019-03-30 0.3893
2019-03-31 0.3917
2019-04-01 0.3942
2019-04-02 0.3967
2019-04-03 0.3994
2019-04-04 0.4019
2019-04-05 0.40453
2019-04-06 0.4075
2019-04-07 0.4104
2019-04-08 0.4134
2019-04-09 0.4167
2019-04-10 0.4201
2019-04-11 0.4238
2019-04-12 0.4276
2019-04-13 0.4318
2019-04-14 0.4362
2019-04-15 0.4406
2019-04-16 0.4455
2019-04-17 0.4506
2019-04-18 0.4561
2019-04-19 0.4619
2019-04-20 0.4679
2019-04-21 0.4742
2019-04-22 0.4807
2019-04-23 0.4874
2019-04-24 0.4941
2019-04-25 0.5012
2019-04-26 0.5083
2019-04-27 0.5159
2019-04-28 0.5231
2019-04-29 0.53043
2019-04-30 0.538
2019-05-01 0.5455
2019-05-02 0.553
2019-05-03 0.5606
2019-05-04 0.5683
2019-05-05 0.5761
2019-05-06 0.5837
2019-05-07 0.5911
2019-05-08 0.5987
2019-05-09 0.60583
2019-05-10 0.613
2019-05-11 0.6202
2019-05-12 0.6272
2019-05-13 0.6342
2019-05-14 0.6409
2019-05-15 0.6474
2019-05-16 0.654
2019-05-17 0.6604
2019-05-18 0.6665
2019-05-19 0.6726
2019-05-20 0.6787
2019-05-21 0.6847
2019-05-22 0.6905
2019-05-23 0.6961
2019-05-24 0.7014
2019-05-25 0.7068
2019-05-26 0.7118
2019-05-27 0.7167
2019-05-28 0.7217
2019-05-29 0.7265
2019-05-30 0.7313
2019-05-31 0.7358
2019-06-01 0.7403
2019-06-02 0.7446
2019-06-03 0.7488
2019-06-04 0.7527
2019-06-05 0.7567
2019-06-06 0.76053
2019-06-07 0.7644
2019-06-08 0.7679
2019-06-09 0.7716
2019-06-10 0.775
2019-06-11 0.77823
2019-06-12 0.7814
2019-06-13 0.7845
2019-06-14 0.7874
2019-06-15 0.7902
2019-06-16 0.79293
2019-06-17 0.7958
2019-06-18 0.7984
2019-06-19 0.8009
2019-06-20 0.8034
2019-06-21 0.8057
2019-06-22 0.80803
2019-06-23 0.8102
2019-06-24 0.8124
2019-06-25 0.8143
2019-06-26 0.8162
2019-06-27 0.818
2019-06-28 0.8197
2019-06-29 0.8214
2019-06-30 0.82293
2019-07-01 0.8244
2019-07-02 0.8257
2019-07-03 0.8267
2019-07-04 0.8278
2019-07-05 0.8288
2019-07-06 0.8298
2019-07-07 0.8307
2019-07-08 0.8315
2019-07-09 0.8322
2019-07-10 0.8328
2019-07-11 0.8332
2019-07-12 0.8336
2019-07-13 0.834
2019-07-14 0.8343
2019-07-15 0.8345
2019-07-16 0.8347
2019-07-17 0.8348
2019-07-18 0.8349
2019-07-19 0.835
2019-07-20 0.83503
2019-07-21 0.8351
2019-07-22 0.8352
2019-07-23 0.835
2019-07-24 0.835
2019-07-25 0.835
2019-07-26 0.835
2019-07-27 0.8349
2019-07-28 0.835
2019-07-29 0.8349
2019-07-30 0.8348
2019-07-31 0.8346
2019-08-01 0.8345
2019-08-02 0.8344
2019-08-03 0.83423
2019-08-04 0.8341
2019-08-05 0.834
2019-08-06 0.8338
2019-08-07 0.8336
