Date Index
2019-01-01 0.2477
2019-01-02 0.2458
2019-01-03 0.2438
2019-01-04 0.242
2019-01-05 0.2404
2019-01-06 0.2387
2019-01-07 0.2371
2019-01-08 0.2355
2019-01-09 0.2345
2019-01-10 0.2334
2019-01-11 0.2324
2019-01-12 0.2315
2019-01-13 0.2308
2019-01-14 0.23
2019-01-15 0.2296
2019-01-16 0.2292
2019-01-17 0.2287
2019-01-18 0.2283
2019-01-19 0.2279
2019-01-20 0.2276
2019-01-21 0.2275
2019-01-22 0.2276
2019-01-23 0.2277
2019-01-24 0.228
2019-01-25 0.2286
2019-01-26 0.22928
2019-01-27 0.2299
2019-01-28 0.2303
2019-01-29 0.2314
2019-01-30 0.2323
2019-01-31 0.2336
2019-02-01 0.2347
2019-02-02 0.2357
2019-02-03 0.2371
2019-02-04 0.2382
2019-02-05 0.239
2019-02-06 0.2397
2019-02-07 0.2408
2019-02-08 0.2414
2019-02-09 0.2425
2019-02-10 0.2435
2019-02-11 0.2445
2019-02-12 0.2457
2019-02-13 0.2468
2019-02-14 0.2476
2019-02-15 0.2485
2019-02-16 0.2496
2019-02-17 0.2504
2019-02-18 0.2514
2019-02-19 0.252
2019-02-20 0.25313
2019-02-21 0.2539
2019-02-22 0.255
2019-02-23 0.256
2019-02-24 0.257
2019-02-25 0.2582
2019-02-26 0.2593
2019-02-27 0.2604
2019-02-28 0.2614
2019-03-01 0.2626
2019-03-02 0.2641
2019-03-03 0.2655
2019-03-04 0.2668
2019-03-05 0.2682
2019-03-06 0.2698
2019-03-07 0.2713
2019-03-08 0.273
2019-03-09 0.2749
2019-03-10 0.2765
2019-03-11 0.27845
2019-03-12 0.2803
2019-03-13 0.2826
2019-03-14 0.2847
2019-03-15 0.2869
2019-03-16 0.2893
2019-03-17 0.292
2019-03-18 0.2947
2019-03-19 0.29745
2019-03-20 0.3006
2019-03-21 0.3037
2019-03-22 0.3071
2019-03-23 0.31045
2019-03-24 0.3138
2019-03-25 0.3174
2019-03-26 0.3211
2019-03-27 0.3244
2019-03-28 0.3279
2019-03-29 0.3316
2019-03-30 0.3353
2019-03-31 0.3389
2019-04-01 0.3425
2019-04-02 0.346
2019-04-03 0.3494
2019-04-04 0.3529
2019-04-05 0.3567
2019-04-06 0.3605
2019-04-07 0.3639
2019-04-08 0.36755
2019-04-09 0.3711
2019-04-10 0.3748
2019-04-11 0.3788
2019-04-12 0.3828
2019-04-13 0.38655
2019-04-14 0.3907
2019-04-15 0.3948
2019-04-16 0.3992
2019-04-17 0.4035
2019-04-18 0.4079
2019-04-19 0.4125
2019-04-20 0.4172
2019-04-21 0.4223
2019-04-22 0.4278
2019-04-23 0.4335
2019-04-24 0.4392
2019-04-25 0.4451
2019-04-26 0.4514
2019-04-27 0.45805
2019-04-28 0.465
2019-04-29 0.472
2019-04-30 0.4792
2019-05-01 0.4864
2019-05-02 0.4939
2019-05-03 0.5018
2019-05-04 0.5094
2019-05-05 0.5174
2019-05-06 0.5255
2019-05-07 0.5338
2019-05-08 0.5422
2019-05-09 0.5505
2019-05-10 0.5587
2019-05-11 0.567
2019-05-12 0.5754
2019-05-13 0.5838
2019-05-14 0.5919
2019-05-15 0.6
2019-05-16 0.6079
2019-05-17 0.6158
2019-05-18 0.6235
2019-05-19 0.6311
2019-05-20 0.6387
2019-05-21 0.646
2019-05-22 0.6532
2019-05-23 0.6602
2019-05-24 0.667
2019-05-25 0.6738
2019-05-26 0.6804
2019-05-27 0.6868
2019-05-28 0.693
2019-05-29 0.6991
2019-05-30 0.7051
2019-05-31 0.7109
2019-06-01 0.7165
2019-06-02 0.7221
2019-06-03 0.7277
2019-06-04 0.7331
2019-06-05 0.7385
2019-06-06 0.7434
2019-06-07 0.7485
2019-06-08 0.7532
2019-06-09 0.7577
2019-06-10 0.7621
2019-06-11 0.7665
2019-06-12 0.7708
2019-06-13 0.7747
2019-06-14 0.7786
2019-06-15 0.7824
2019-06-16 0.7859
2019-06-17 0.7893
2019-06-18 0.79245
2019-06-19 0.7957
2019-06-20 0.7987
2019-06-21 0.8015
2019-06-22 0.8043
2019-06-23 0.8069
2019-06-24 0.8094
2019-06-25 0.8115
2019-06-26 0.8138
2019-06-27 0.816
2019-06-28 0.8179
2019-06-29 0.8199
2019-06-30 0.8216
2019-07-01 0.8234
2019-07-02 0.825
2019-07-03 0.8263
2019-07-04 0.8276
2019-07-05 0.8289
2019-07-06 0.83
2019-07-07 0.831
2019-07-08 0.8318
2019-07-09 0.8328
2019-07-10 0.8336
2019-07-11 0.8342
2019-07-12 0.8346
2019-07-13 0.8351
2019-07-14 0.8356
2019-07-15 0.836
2019-07-16 0.8365
2019-07-17 0.8367
2019-07-18 0.8371
2019-07-19 0.8373
2019-07-20 0.8376
2019-07-21 0.8378
2019-07-22 0.838
2019-07-23 0.838
2019-07-24 0.8381
2019-07-25 0.8382
2019-07-26 0.8382
2019-07-27 0.8383
2019-07-28 0.8383
2019-07-29 0.8383
2019-07-30 0.8383
2019-07-31 0.8383
2019-08-01 0.8383
2019-08-02 0.8381
2019-08-03 0.838
2019-08-04 0.8378
2019-08-05 0.8378
2019-08-06 0.8376
2019-08-07 0.8373
2019-08-08 0.8372
2019-08-09 0.8369
2019-08-10 0.8367
2019-08-11 0.8364
2019-08-12 0.8361
2019-08-13 0.8359
2019-08-14 0.8355
2019-08-15 0.8351
2019-08-16 0.8347
2019-08-17 0.8343
2019-08-18 0.8339
2019-08-19 0.8334
2019-08-20 0.8331
2019-08-21 0.8326
2019-08-22 0.8321
2019-08-23 0.8316
2019-08-24 0.8311
2019-08-25 0.8305
2019-08-26 0.8298
2019-08-27 0.8291
2019-08-28 0.8284
2019-08-29 0.8276
2019-08-30 0.8267
2019-08-31 0.8259
2019-09-01 0.825
2019-09-02 0.8239
2019-09-03 0.8228
2019-09-04 0.8219
2019-09-05 0.8207
2019-09-06 0.8196
2019-09-07 0.8183
2019-09-08 0.817
2019-09-09 0.8157
2019-09-10 0.8142
2019-09-11 0.8125
2019-09-12 0.8107
2019-09-13 0.809
2019-09-14 0.8071
2019-09-15 0.8052
2019-09-16 0.8029
2019-09-17 0.80075
2019-09-18 0.7984
2019-09-19 0.7959
2019-09-20 0.7933
2019-09-21 0.7905
2019-09-22 0.7875
2019-09-23 0.7843
2019-09-24 0.7808
2019-09-25 0.7771
2019-09-26 0.7733
2019-09-27 0.7691
2019-09-28 0.7648
2019-09-29 0.76015
2019-09-30 0.7553
2019-10-01 0.7501
2019-10-02 0.7447
2019-10-03 0.7388
2019-10-04 0.7326
2019-10-05 0.7263
2019-10-06 0.7196
2019-10-07 0.7125
2019-10-08 0.705
2019-10-09 0.69715
2019-10-10 0.6889
2019-10-11 0.6804
2019-10-12 0.6714
2019-10-13 0.6623
2019-10-14 0.6527
2019-10-15 0.6432
2019-10-16 0.6337
2019-10-17 0.624
2019-10-18 0.6142
2019-10-19 0.6043
2019-10-20 0.59475
2019-10-21 0.5849
2019-10-22 0.5755
2019-10-23 0.5657
2019-10-24 0.5561
2019-10-25 0.5469
2019-10-26 0.5377
2019-10-27 0.5288
2019-10-28 0.52
2019-10-29 0.5113
2019-10-30 0.5032
2019-10-31 0.4952
2019-11-01 0.4877
2019-11-02 0.4804
2019-11-03 0.4734
2019-11-04 0.4666
2019-11-05 0.46
2019-11-06 0.4537
2019-11-07 0.4477
2019-11-08 0.4417
2019-11-09 0.436
2019-11-10 0.4307
