Date Index
2019-04-01 0.541631076643611
2019-04-02 0.542984957730734
2019-04-03 0.544534073918815
2019-04-04 0.546291441347027
2019-04-05 0.5482655627751
2019-04-06 0.550467742611612
2019-04-07 0.552909250331866
2019-04-08 0.555601124851534
2019-04-09 0.558553860127157
2019-04-10 0.561777006916789
2019-04-11 0.565282987493887
2019-04-12 0.569082959547265
2019-04-13 0.573185845035981
2019-04-14 0.577604205966604
2019-04-15 0.582347551177251
2019-04-16 0.587426402571089
2019-04-17 0.590804668528018
2019-04-18 0.597200824621778
2019-04-19 0.602243511543879
2019-04-20 0.609570506460898
2019-04-21 0.617127680813277
2019-04-22 0.62486319253977
2019-04-23 0.63276708721887
2019-04-24 0.640765130736881
2019-04-25 0.648811842506247
2019-04-26 0.656860376668495
2019-04-27 0.665021601799335
2019-04-28 0.672373885194602
2019-04-29 0.679629048503814
2019-04-30 0.686758321924506
2019-05-01 0.6937366663407
2019-05-02 0.697767463485653
2019-05-03 0.704329948809468
2019-05-04 0.710699652467947
2019-05-05 0.71688097027192
2019-05-06 0.722878260461184
2019-05-07 0.728682970129626
2019-05-08 0.734325122111591
2019-05-09 0.739828842193935
2019-05-10 0.74512500935979
2019-05-11 0.750260548483714
2019-05-12 0.755240935043055
2019-05-13 0.760071817671284
2019-05-14 0.764557282984112
2019-05-15 0.769076988256965
2019-05-16 0.773465245222197
2019-05-17 0.777727183974211
2019-05-18 0.78186665899148
2019-05-19 0.785888708266175
2019-05-20 0.78979774349528
2019-05-21 0.793598093483767
2019-05-22 0.79729493898227
2019-05-23 0.800892392355515
2019-05-24 0.804152320772059
2019-05-25 0.807565712316176
2019-05-26 0.810881930147059
2019-05-27 0.814094283088235
2019-05-28 0.817204554018657
2019-05-29 0.820187923349111
2019-05-30 0.823046831487524
2019-05-31 0.825773333026975
2019-06-01 0.828336995013039
2019-06-02 0.830772873678913
2019-06-03 0.83305846519711
2019-06-04 0.835201650964968
2019-06-05 0.837205524558676
2019-06-06 0.839077650233239
2019-06-07 0.84082458611543
2019-06-08 0.842454161712247
2019-06-09 0.843973273575414
2019-06-10 0.8453889737492
2019-06-11 0.846708858501784
2019-06-12 0.847939394493735
2019-06-13 0.849067540128961
2019-06-14 0.850141025289249
2019-06-15 0.851149721053594
2019-06-16 0.852087282787635
2019-06-17 0.852963398573258
2019-06-18 0.853780130784708
2019-06-19 0.854538531187123
2019-06-20 0.855237058715932
2019-06-21 0.855873134260106
2019-06-22 0.856445692335833
2019-06-23 0.856951650813975
2019-06-24 0.857389651545638
