Date Index
2019-01-01 0.6984
2019-01-02 0.6968
2019-01-03 0.6951
2019-01-04 0.6935
2019-01-05 0.6916
2019-01-06 0.6897
2019-01-07 0.68792
2019-01-08 0.6858
2019-01-09 0.6839
2019-01-10 0.6814
2019-01-11 0.67882
2019-01-12 0.6761
2019-01-13 0.673
2019-01-14 0.66992
2019-01-15 0.6673
2019-01-16 0.66412
2019-01-17 0.6611
2019-01-18 0.6578
2019-01-19 0.6543
2019-01-20 0.6509
2019-01-21 0.6468
2019-01-22 0.6431
2019-01-23 0.639
2019-01-24 0.6353
2019-01-25 0.6312
2019-01-26 0.627
2019-01-27 0.6228
2019-01-28 0.6187
2019-01-29 0.615
2019-01-30 0.61109
2019-01-31 0.60699
2019-02-01 0.6027
2019-02-02 0.5987
2019-02-03 0.59479
2019-02-04 0.5911
2019-02-05 0.58759
2019-02-06 0.5841
2019-02-07 0.5807
2019-02-08 0.5776
2019-02-09 0.5746
2019-02-10 0.5721
2019-02-11 0.56947
2019-02-12 0.5673
2019-02-13 0.56487
2019-02-14 0.5625
2019-02-15 0.5605
2019-02-16 0.5585
2019-02-17 0.5567
2019-02-18 0.5554
2019-02-19 0.554
2019-02-20 0.5528
2019-02-21 0.5515
2019-02-22 0.5504
2019-02-23 0.5496
2019-02-24 0.5485
2019-02-25 0.5478
2019-02-26 0.547
2019-02-27 0.5464
2019-02-28 0.54587
2019-03-01 0.5454
2019-03-02 0.5452
2019-03-03 0.545
2019-03-04 0.5449
2019-03-05 0.5447
2019-03-06 0.5447
2019-03-07 0.5448
2019-03-08 0.545
2019-03-09 0.545
2019-03-10 0.5452
2019-03-11 0.5454
2019-03-12 0.54557
2019-03-13 0.546
2019-03-14 0.5461
2019-03-15 0.5464
2019-03-16 0.5466
2019-03-17 0.5471
2019-03-18 0.5475
2019-03-19 0.5478
2019-03-20 0.5482
2019-03-21 0.5489
2019-03-22 0.5498
2019-03-23 0.5505
2019-03-24 0.5517
2019-03-25 0.55277
2019-03-26 0.554
2019-03-27 0.555
2019-03-28 0.5564
2019-03-29 0.55807
2019-03-30 0.5598
2019-03-31 0.5618
2019-04-01 0.56387
2019-04-02 0.5661
2019-04-03 0.5685
2019-04-04 0.57107
2019-04-05 0.574
2019-04-06 0.577
2019-04-07 0.5803
2019-04-08 0.5837
2019-04-09 0.5879
2019-04-10 0.5918
2019-04-11 0.5963
2019-04-12 0.6008
2019-04-13 0.6056
2019-04-14 0.6107
2019-04-15 0.6161
2019-04-16 0.6217
2019-04-17 0.6275
2019-04-18 0.6335
2019-04-19 0.6398
2019-04-20 0.6463
2019-04-21 0.6529
2019-04-22 0.6598
2019-04-23 0.6668
2019-04-24 0.6738
2019-04-25 0.681
2019-04-26 0.6882
2019-04-27 0.6957
2019-04-28 0.703
2019-04-29 0.7105
2019-04-30 0.7181
2019-05-01 0.7256
2019-05-02 0.7331
2019-05-03 0.7406
2019-05-04 0.7481
2019-05-05 0.7557
2019-05-06 0.763
2019-05-07 0.7705
2019-05-08 0.7778
2019-05-09 0.7851
2019-05-10 0.7923
2019-05-11 0.7994
2019-05-12 0.8062
2019-05-13 0.81277
2019-05-14 0.8194
2019-05-15 0.8256
2019-05-16 0.8317
2019-05-17 0.8376
2019-05-18 0.8432
2019-05-19 0.8485
2019-05-20 0.8536
2019-05-21 0.8582
2019-05-22 0.8627
2019-05-23 0.8669
2019-05-24 0.8708
2019-05-25 0.8744
2019-05-26 0.8779
2019-05-27 0.881
2019-05-28 0.8838
2019-05-29 0.8866
2019-05-30 0.8891
2019-05-31 0.89137
2019-06-01 0.8934
2019-06-02 0.8953
2019-06-03 0.8969
2019-06-04 0.8984
2019-06-05 0.8997
2019-06-06 0.9008
2019-06-07 0.9019
2019-06-08 0.9028
2019-06-09 0.9036
2019-06-10 0.9042
2019-06-11 0.9047
2019-06-12 0.9052
2019-06-13 0.9057
2019-06-14 0.906
2019-06-15 0.9062
2019-06-16 0.9063
2019-06-17 0.9065
2019-06-18 0.9066
2019-06-19 0.9066
2019-06-20 0.9066
2019-06-21 0.9067
2019-06-22 0.9067
2019-06-23 0.9067
2019-06-24 0.9067
2019-06-25 0.9067
2019-06-26 0.9067
2019-06-27 0.9067
2019-06-28 0.9068
2019-06-29 0.9068
2019-06-30 0.9069
2019-07-01 0.9069
2019-07-02 0.907
2019-07-03 0.907
2019-07-04 0.9071
2019-07-05 0.9072
2019-07-06 0.9073
2019-07-07 0.9074
2019-07-08 0.9075
2019-07-09 0.9076
2019-07-10 0.9077
2019-07-11 0.9077
2019-07-12 0.9078
2019-07-13 0.9079
2019-07-14 0.908
2019-07-15 0.9081
2019-07-16 0.9082
2019-07-17 0.9083
2019-07-18 0.9083
2019-07-19 0.9084
2019-07-20 0.9085
2019-07-21 0.9085
2019-07-22 0.9085
2019-07-23 0.9086
2019-07-24 0.9086
2019-07-25 0.9087
2019-07-26 0.9087
2019-07-27 0.9087
2019-07-28 0.9087
2019-07-29 0.9087
2019-07-30 0.9086
2019-07-31 0.9086
2019-08-01 0.9084
2019-08-02 0.9083
2019-08-03 0.9082
2019-08-04 0.9081
2019-08-05 0.908
2019-08-06 0.9078
2019-08-07 0.9077
2019-08-08 0.9075
2019-08-09 0.90737
2019-08-10 0.9072
2019-08-11 0.907
2019-08-12 0.9068
2019-08-13 0.9066
2019-08-14 0.9063
2019-08-15 0.9061
2019-08-16 0.9059
2019-08-17 0.9056
2019-08-18 0.9054
2019-08-19 0.9052
2019-08-20 0.9049
2019-08-21 0.90467
2019-08-22 0.9044
2019-08-23 0.9041
2019-08-24 0.9039
2019-08-25 0.9036
2019-08-26 0.9033
2019-08-27 0.9031
2019-08-28 0.9028
2019-08-29 0.9025
2019-08-30 0.9023
2019-08-31 0.902
2019-09-01 0.9016
2019-09-02 0.9013
2019-09-03 0.9009
2019-09-04 0.9006
2019-09-05 0.9002
2019-09-06 0.8998
2019-09-07 0.8993
2019-09-08 0.8988
2019-09-09 0.8982
2019-09-10 0.8976
2019-09-11 0.8969
2019-09-12 0.8961
2019-09-13 0.8953
2019-09-14 0.8945
2019-09-15 0.8934
2019-09-16 0.8923
2019-09-17 0.8912
2019-09-18 0.8898
2019-09-19 0.8885
2019-09-20 0.887
2019-09-21 0.8854
2019-09-22 0.8836
2019-09-23 0.8816
2019-09-24 0.8796
2019-09-25 0.8773
2019-09-26 0.875
2019-09-27 0.8725
2019-09-28 0.8698
2019-09-29 0.867
2019-09-30 0.864
2019-10-01 0.861
2019-10-02 0.8579
2019-10-03 0.8546
2019-10-04 0.8511
2019-10-05 0.8476
2019-10-06 0.8439
2019-10-07 0.8403
2019-10-08 0.8366
2019-10-09 0.8328
2019-10-10 0.8288
2019-10-11 0.825
2019-10-12 0.8211
2019-10-13 0.8171
2019-10-14 0.81317
2019-10-15 0.8092
2019-10-16 0.8054
2019-10-17 0.80167
2019-10-18 0.7975
2019-10-19 0.7937
2019-10-20 0.79
2019-10-21 0.7863
2019-10-22 0.7827
2019-10-23 0.7792
2019-10-24 0.7758
2019-10-25 0.7724
2019-10-26 0.7691
2019-10-27 0.7659
2019-10-28 0.7628
2019-10-29 0.7598
2019-10-30 0.7569
2019-10-31 0.7541
2019-11-01 0.7513
2019-11-02 0.7485
2019-11-03 0.7461
2019-11-04 0.7436
2019-11-05 0.7411
2019-11-06 0.7388
2019-11-07 0.7365
2019-11-08 0.7341
2019-11-09 0.7321
2019-11-10 0.7301
2019-11-11 0.7284
2019-11-12 0.7264
2019-11-13 0.7248
2019-11-14 0.72307
2019-11-15 0.7214
2019-11-16 0.7199
2019-11-17 0.7186
2019-11-18 0.7174
2019-11-19 0.7161
2019-11-20 0.7151
2019-11-21 0.714
2019-11-22 0.7134
2019-11-23 0.7127
2019-11-24 0.7122
2019-11-25 0.7118
2019-11-26 0.7115
2019-11-27 0.711
2019-11-28 0.7107
2019-11-29 0.71
2019-11-30 0.7095
2019-12-01 0.7089
2019-12-02 0.7086
2019-12-03 0.7082
2019-12-04 0.7077
2019-12-05 0.7068
2019-12-06 0.7062
2019-12-07 0.7058
2019-12-08 0.7051
2019-12-09 0.7042
2019-12-10 0.7036
2019-12-11 0.7031
2019-12-12 0.7027
2019-12-13 0.7023
2019-12-14 0.702
2019-12-15 0.7014
2019-12-16 0.701
2019-12-17 0.70051
2019-12-18 0.7001
2019-12-19 0.69971
2019-12-20 0.6992
2019-12-21 0.6988
2019-12-22 0.6982
2019-12-23 0.6976
2019-12-24 0.697
2019-12-25 0.6963
2019-12-26 0.6956
2019-12-27 0.6947
2019-12-28 0.6937
2019-12-29 0.69242
2019-12-30 0.69152
2019-12-31 0.69032
2024-01-01 0.6594
2024-01-02 0.6581
2024-01-03 0.65587
2024-01-04 0.6542
2024-01-05 0.65254
2024-01-06 0.6509
2024-01-07 0.64917
2024-01-08 0.64767
2024-01-09 0.6467
2024-01-10 0.6453
2024-01-11 0.64305
2024-01-12 0.6413
2024-01-13 0.6398
2024-01-14 0.63773
2024-01-15 0.63609
2024-01-16 0.6341
2024-01-17 0.6323
2024-01-18 0.6299
2024-01-19 0.6277
2024-01-20 0.6261
2024-01-21 0.6236
2024-01-22 0.6218
2024-01-23 0.6196
2024-01-24 0.6175
2024-01-25 0.616
2024-01-26 0.6141
2024-01-27 0.612
2024-01-28 0.6096
2024-01-29 0.6077
2024-01-30 0.6051
2024-01-31 0.6032
2024-02-01 0.6013
2024-02-02 0.5994
2024-02-03 0.5973
2024-02-04 0.596
2024-02-05 0.5939
2024-02-06 0.5928
2024-02-07 0.591
2024-02-08 0.5893
2024-02-09 0.5876
2024-02-10 0.5863
2024-02-11 0.5849
2024-02-12 0.5839
2024-02-13 0.583
2024-02-14 0.582
2024-02-15 0.5809
2024-02-16 0.5799
2024-02-17 0.5791
2024-02-18 0.5781
2024-02-19 0.5773
2024-02-20 0.5765
2024-02-21 0.5755
2024-02-22 0.5746
2024-02-23 0.5742
2024-02-24 0.5735
2024-02-25 0.5727
2024-02-26 0.5719
2024-02-27 0.571
2024-02-28 0.5704
2024-02-29 0.57
2024-03-01 0.5697
2024-03-02 0.569
2024-03-03 0.5688
2024-03-04 0.5684
2024-03-05 0.5679
2024-03-06 0.5674
2024-03-07 0.5669
2024-03-08 0.567
2024-03-09 0.567
2024-03-10 0.5668
2024-03-11 0.5668
2024-03-12 0.5668
2024-03-13 0.5671
2024-03-14 0.5677
2024-03-15 0.5681
2024-03-16 0.5685
2024-03-17 0.5691
2024-03-18 0.5697
2024-03-19 0.5703
2024-03-20 0.571
2024-03-21 0.572
2024-03-22 0.5731
2024-03-23 0.5745
2024-03-24 0.5757
2024-03-25 0.5769
2024-03-26 0.5783
2024-03-27 0.5796
2024-03-28 0.5813
2024-03-29 0.583
2024-03-30 0.5845
2024-03-31 0.5864
2024-04-01 0.5886
2024-04-02 0.5907
2024-04-03 0.5927
2024-04-04 0.5946
2024-04-05 0.597
2024-04-06 0.5994
2024-04-07 0.6021
2024-04-08 0.6048
2024-04-09 0.6079
2024-04-10 0.6109
2024-04-11 0.614
2024-04-12 0.6171
2024-04-13 0.6206
2024-04-14 0.624
2024-04-15 0.6277
2024-04-16 0.6315
2024-04-17 0.6353
2024-04-18 0.6393
2024-04-19 0.6438
2024-04-20 0.6482
2024-04-21 0.6533
2024-04-22 0.6582
2024-04-23 0.6635
2024-04-24 0.6692
2024-04-25 0.674
2024-04-26 0.6796
2024-04-27 0.6851
2024-04-28 0.6909
2024-04-29 0.6965
2024-04-30 0.7018
2024-05-01 0.7076
2024-05-02 0.7135
2024-05-03 0.7193
2024-05-04 0.7252
2024-05-05 0.7315
2024-05-06 0.7375
